,precision,recall,f1-score,support
-1,0.7802768166089965,0.27300242130750607,0.4044843049327354,1652.0
0,0.8702778645020294,0.9260797342192691,0.8973120875583455,6020.0
1,0.8064263322884012,0.9039002108222066,0.8523856858846919,5692.0
accuracy,0.8359024244238252,0.8359024244238252,0.8359024244238252,0.8359024244238252
macro avg,0.8189936711331424,0.7009941221163273,0.7180606927919243,13364.0
weighted avg,0.8319566543494358,0.8359024244238252,0.8172557739378767,13364.0
