,precision,recall,f1-score,support
-1,0.7457081545064378,0.42070217917675545,0.5379256965944272,1652.0
0,0.8403199525996149,0.942358803986711,0.8884190744655862,6020.0
1,0.8563633163175497,0.8547083626141954,0.8555350391277586,5692.0
accuracy,0.8405417539658785,0.8405417539658785,0.8405417539658785,0.8405417539658785
macro avg,0.8141304744745342,0.739256448592554,0.760626603395924,13364.0
weighted avg,0.8354576460920239,0.8405417539658785,0.831086614918589,13364.0
