,precision,recall,f1-score,support
-1,0.6791590493601463,0.44975786924939465,0.5411507647487254,1652.0
0,0.8685714285714285,0.93421926910299,0.9002000800320128,6020.0
1,0.8598792062122519,0.8754392129304287,0.8675894489422826,5692.0
accuracy,0.849296617779108,0.849296617779108,0.849296617779108,0.849296617779108
macro avg,0.8025365613812756,0.7531387837609378,0.7696467645743402,13364.0
weighted avg,0.8414548930936171,0.849296617779108,0.841926420872275,13364.0
