,precision,recall,f1-score,support
-1,0.30987937966685813,0.6531476997578692,0.4203350214257889,1652.0
0,0.8042539581001119,0.8353820598006645,0.8195225291289823,6020.0
1,0.8459630752273354,0.539353478566409,0.658727604334299,5692.0
accuracy,0.6867704280155642,0.6867704280155642,0.6867704280155642,0.6867704280155642
macro avg,0.6533654709981018,0.6759610793749808,0.6328617182963567,13364.0
weighted avg,0.760906269617354,0.6867704280155642,0.7016908563770359,13364.0
