,precision,recall,f1-score,support
-1,0.722279792746114,0.4219128329297821,0.5326709973251814,1652.0
0,0.8340767172167708,0.9318936877076412,0.880276165071395,6020.0
1,0.8496386391679888,0.8468025298664793,0.8482182138143424,5692.0
accuracy,0.8326099970068842,0.8326099970068842,0.8326099970068842,0.8326099970068842
macro avg,0.8019983830436246,0.7335363501679676,0.7537217920703062,13364.0
weighted avg,0.8268850036969271,0.8326099970068842,0.8236525796424897,13364.0
